nome,categoria_origem,venue,bairro,dias_apresentacao,desconto_percentual,preco_bruto,url_origem,sinopse_oficial,horarios_sessao,duracao_minutos,idade_minima,idade_maxima,preco_inteira_centavos,url_ingresso,preco_a_partir
Fantasy Uma Viagem Musical,Teatro Infantil,Teatro Clara Nunes - Shopping da Gávea,Gávea,"Dias 04/07, 05/07, 11/07, 12/07 ... 25/07",50%,R$60,https://clubinhodeofertas.com.br/rio-de-janeiro/fantasy-uma-viagem-musical-2682,"Fantasy convida você para uma experiência mágica e emocionante, repleta de aventura, música e muita diversão! Apresentações sábados e domingos às 16h no Teatro Clara Nunes. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Prepare-se para embarcar em uma jornada inesquecível, onde os contos de fadas ganham vida de forma surpreendente. ⏰HORÁRIOS: 📆Sábados e domingos - 16h Classificação: Livre Sobre o espetáculo: Ao longo do espetáculo, você será transportado para um mundo mágico com músicas emocionantes preenchendo o ar, efeitos de neve caindo no palco através dos poderes da incrível rainha da neve. Fantasy traz ao palco 18 personagens icônicos dos contos de fadas, como Aladdin, Gênio, Cinderela, Rapunzel, Moana, Bela e a Fera, Ariel, Bela Adormecida, Malévola, Jafar, Rainha Má e muitos outros. Através de uma narrativa envolvente e emocionante, esses personagens se unem em uma missão para salvar seus contos de fadas, enfrentando vilões poderosos. Prepare-se para se encantar, emocionar e se divertir ao máximo com Fantasy – uma viagem musical que promete tocar seu coração e divertir muito toda família.",04/07 às 16:00 | 05/07 às 16:00 | 11/07 às 16:00 | 12/07 às 16:00 | 18/07 às 16:00 | 19/07 às 16:00 | 25/07 às 16:00 | 26/07 às 16:00,60,0,,6000,https://clubinhodeofertas.com.br/rio-de-janeiro/fantasy-uma-viagem-musical-2682,1
Bob Zoom em: O Trem de Ferro,Teatro Infantil,Ecovilla Ri Happy,Jardim Botânico,"Dias 04/07, 05/07",30%,R$50,https://clubinhodeofertas.com.br/rio-de-janeiro/bob-zoom-em-o-trem-de-ferro-4039,"“Bob Zoom em: O Trem de Ferro” vai levar os fãs do personagem por uma incrível viagem musical. Apresentações 04 e 05 de Julho às 11h na Ecovilla Ri Happy. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. No espetáculo, com aproximadamente 50 minutos, Bob Zoom e seus amigos vão viver uma aventura animada para encontrar o trem de ferro que dá nome ao show. Nessa viagem divertida, os personagens vão se deparar com situações inusitadas que prometem surpreender e alegrar a criançada e seus pais. ⏰ HORÁRIOS: 📆04 e 05/07 - 11h Classificação: Livre Sobre o espetáculo: No espetáculo, com aproximadamente 50 minutos, Bob Zoom e seus amigos vão viver uma aventura animada para encontrar o trem de ferro que dá nome ao show. Nessa viagem divertida, os personagens vão se deparar com situações inusitadas que prometem surpreender e alegrar a criançada e seus pais. A trilha sonora do show tem 18 canções, todas bem conhecidas do público que se acostumou a acompanhar o Bob Zoom na internet e em outras plataformas. São clássicos do cancioneiro popular como “A baratinha”, “Pintor de Jundiaí, “Marcha soldado” e “Pula Pula Pipoquinha”. Em turnês anteriores, Bob Zoom e sua turma s",04/07 às 11:00 | 05/07 às 11:00,50,0,,5000,https://clubinhodeofertas.com.br/rio-de-janeiro/bob-zoom-em-o-trem-de-ferro-4039,1
Os Super Heróis Contra o Coringa,Teatro Infantil,Teatro dos Quatro - Shopping da Gávea,Gávea,Somente dia 04/07,30%,"R$54,90",https://clubinhodeofertas.com.br/rio-de-janeiro/os-super-herois-contra-o-coringa-3948,"Os maiores defensores da justiça se unem para enfrentar um dos vilões mais imprevisíveis de todos os tempos. Única apresentação 04 de Julho às 16h no Teatro dos Quatro. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Prepare-se para uma aventura eletrizante cheia de ação, humor e heroísmo! ⏰HORÁRIOS: 📆04/07 - 16h Classificação: Livre Sobre o espetáculo: No espetáculo “Os Super-Heróis contra o Coringa”, os maiores defensores da justiça se unem para enfrentar um dos vilões mais imprevisíveis de todos os tempos. Com seu plano maluco de espalhar o caos e a confusão, o Coringa coloca toda a cidade em perigo — e só uma equipe de heróis corajosos poderá detê-lo! Com cenas dinâmicas, efeitos visuais, muita interação com o público e momentos divertidos, a peça leva crianças e famílias a uma jornada sobre amizade, coragem e a importância de fazer o bem. Uma aventura imperdível que vai arrancar risadas, aplausos e muita emoção do começo ao fim!",04/07 às 16:00,60,0,,5490,https://clubinhodeofertas.com.br/rio-de-janeiro/os-super-herois-contra-o-coringa-3948,1
Os Chocolix - O Mistério do Som,Teatro Infantil,Teatro Miguel Falabella - Norte Shopping,Cachambi,"Dias 04/07, 05/07",50%,"R$39,90",https://clubinhodeofertas.com.br/rio-de-janeiro/os-chocolix-o-misterio-do-som-4028,"Os Chocolix – O Mistério do Som é uma experiência ao vivo envolvente, colorida e inesquecível. Únicas apresentações 04 e 05 de Julho às 15h no Teatro Miguel Falabella. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. O Reino da Chocolândia está pronto para sair das telas e invadir o mundo real em uma aventura doce, colorida e cheia de magia. ⏰HORÁRIOS: 📆04 e 05/07 - 15h Classificação: Livre Sobre o espetáculo: O Reino da Chocolândia está pronto para sair das telas e invadir o mundo real em uma aventura doce, colorida e cheia de magia. O fenômeno Os Chocolix, criação original de Jacqueline Shor é um dos maiores sucessos do conteúdo infantil brasileiro, chega aos palcos em um show que propõe uma experiência totalmente interativa. O espetáculo promove um encontro emocionante com os irmãos Chocomark e Chocolyne, além de personagens já amados pelo público como Trufão, Caramelo, Max e Doce Cookie. A aventura ganha ainda mais brilho com a chegada da nova e carismática personagem Mel e com a presença irreverente e afetuosa do Tio Show. Sucesso absoluto na televisão, no digital e nas plataformas de streaming, Os Chocolix está disponível em serviços como Netflix, S",04/07 às 15:00 | 05/07 às 15:00,60,0,,3990,https://clubinhodeofertas.com.br/rio-de-janeiro/os-chocolix-o-misterio-do-som-4028,1
Matilda,Teatro Infantil,Teatro dos Grandes Atores - Shopping Barra Square,Barra da Tijuca,"Dias 04/07, 05/07, 11/07, 12/07, 18/07",27%,"R$44,90",https://clubinhodeofertas.com.br/rio-de-janeiro/matilda-4009,"Baseado na consagrada obra de Roald Dahl, Matilda é um espetáculo emocionante. Apresentações sábados e domingos às 15h no Teatro dos Grandes Atores. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Nesta montagem da Cia. Ação Contínua, o espetáculo ganha vida através da energia e do talento de um elenco formado por seis jovens atores e seis integrantes da companhia, que juntos conduzem o público por uma jornada repleta de emoção, humor e encantamento. Sob a direção de Marcelo Lavinas, a produção reúne números musicais vibrantes, coreografias envolventes e cenas marcantes que emocionam espectadores de todas as idades. ⏰HORÁRIOS: 📆Sábados e domingos - 15h Classificação: Livre Sobre o espetáculo: Baseado na consagrada obra de Roald Dahl, Matilda é um espetáculo emocionante, divertido e inspirador que celebra a inteligência, a imaginação e a força transformadora da educação. A história acompanha Matilda, uma menina extraordinária que, apesar de crescer em um ambiente familiar marcado pela negligência e pela falta de compreensão, encontra nos livros um universo de descobertas, conhecimento e esperança. Dona de uma mente brilhante e de uma imaginação sem limite",04/07 às 15:00 | 05/07 às 15:00 | 11/07 às 15:00 | 12/07 às 15:00 | 18/07 às 15:00 | 19/07 às 15:00,60,0,,4490,https://clubinhodeofertas.com.br/rio-de-janeiro/matilda-4009,1
"A Lâmpada Mágica, O Musical",Teatro Infantil,Teatro dos Grandes Atores - Shopping Barra Square,Barra da Tijuca,"Dias 04/07, 11/07, 12/07, 18/07",27%,"R$44,90",https://clubinhodeofertas.com.br/rio-de-janeiro/a-lampada-magica-o-musical-4060,"A história de um jovem humilde que sobrevive na cidade perto ao castelo. Apresentações sábados e domingos às 16h no Teatro dos Grandes Atores. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Em a LÂMPADA MÁGICA contamos a história de um jovem humilde que sobrevive na cidade perto ao castelo. Após salvar a princesa de uma confusão no mercado, ele se apaixona por ela sem saber que ela é da realeza. ⏰ HORÁRIOS: 📆Sábados e domingos - 16h Classificação: Livre Sobre o espetáculo: Em a LÂMPADA MÁGICA contamos a história de um jovem humilde que sobrevive na cidade perto ao castelo. Após salvar a princesa de uma confusão no mercado, ele se apaixona por ela sem saber que ela é da realeza. Com sua inocência e bondade ele é enganado por um feiticeiro, onde foi atraído para recuperar uma lâmpada mágica escondida em uma caverna. Ao tocar na lâmpada e esfrega-la sem querer, ele liberta um poderoso Gênio e ele teve três desejos realizados. O jovem então se tornou um príncipe, mas precisa enfrentar as armadilhas do feiticeiro para conquistar a princesa que estava em perigo e salvar o reino de uma terrível maldição. Será que o jovem vai conseguir?",04/07 às 16:00 | 11/07 às 16:00 | 12/07 às 16:00 | 18/07 às 16:00 | 19/07 às 16:00,60,0,,4490,https://clubinhodeofertas.com.br/rio-de-janeiro/a-lampada-magica-o-musical-4060,1
Hakuna Matata - As Aventuras de Timão e Pumba,Teatro Infantil,Teatro Vannucci - Shopping da Gávea,Gávea,"Dias 04/07, 25/07",50%,"R$49,90",https://clubinhodeofertas.com.br/rio-de-janeiro/hakuna-matata-as-aventuras-de-timao-e-pumba-3877,"Uma jornada inesquecível ao lado da dupla mais carismática da savana africana. Apresentações sábados às 17h no Teatro Vannucci. Prepare-se para muita diversão, risadas e emoção com o espetáculo infantil “Hatuna Matata – As Aventuras de Timão e Pumba”, inspirado no universo do filme O Rei Leão 3 ⏰HORÁRIOS: 📆Sábados - 17h Classificação: Livre Sobre o espetáculo: Prepare-se para muita diversão, risadas e emoção com o espetáculo infantil “Hatuna Matata – As Aventuras de Timão e Pumba”, inspirado no universo do filme O Rei Leão 3. A peça convida crianças e adultos a embarcarem em uma jornada inesquecível ao lado da dupla mais carismática da savana africana. “Hatuna Matata – As Aventuras de Timão e Pumba” é mais do que um espetáculo teatral: é uma experiência divertida e emocionante para toda a família, celebrando a alegria, a amizade e o poder de enxergar a vida com leveza com a filosofia do “Hatuna Matata” - viver sem preocupações. A história é contada de forma leve, dinâmica e cheia de mensagens positivas sobre amizade, coragem, empatia e a importância de ser quem você é. Contando com músicas e interação com o público, o espetáculo promete encantar crianças de todas as idades, além d",04/07 às 17:00 | 25/07 às 17:00,60,0,,4990,https://clubinhodeofertas.com.br/rio-de-janeiro/hakuna-matata-as-aventuras-de-timao-e-pumba-3877,1
Thurminha da Patrulhinha,Teatro Infantil,Teatro Vannucci - Shopping da Gávea,Gávea,Somente dia 04/07,50%,"R$49,90",https://clubinhodeofertas.com.br/rio-de-janeiro/thurminha-da-patrulhinha-3926,"A turminha de filhotes vai iniciar uma nova aventura. Apresentações aos sábados e domingos no Teatro Vannucci. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Foi declarado dia de brincar na cidade Baía, e eles querem se divertir ainda mais! ⏰HORÁRIOS: 📆Sábado - 14h50 Classificação: Livre Sobre o espetáculo: A turma vai iniciar essa nova aventura! Independentemente dos desafios que surgirem, a equipe está pronta para ajudar, e esses corajosos filhotes não têm medo de nada. Foi declarado dia de brincar na cidade Baía, e eles querem se divertir ainda mais! A magia acontece, os filhotes mais adoráveis inventam diversas brincadeiras e se divertem muito, celebrando juntos. A coragem, a amizade e, acima de tudo, o amor estarão em destaque neste emocionante espetáculo, cheio de cores, alegria, diversão e festividade. Todos estão convidados para se juntar às novas brincadeiras . Será uma tarde repleta de música e diversão com os filhotes mais queridos e fofinhos. Vamos criar novas brincadeiras ?",📆Sábado - 14h50,60,0,,4990,https://clubinhodeofertas.com.br/rio-de-janeiro/thurminha-da-patrulhinha-3926,1
Chapeuzinho Vermelho e a Floresta Encantada,Teatro Infantil,Teatro dos Grandes Atores - Shopping Barra Square,Barra da Tijuca,"Dias 04/07, 05/07",27%,"R$44,90",https://clubinhodeofertas.com.br/rio-de-janeiro/chapeuzinho-vermelho-e-a-floresta-encantada-3314,"Uma aventura mágica e cheia de risadas com a estreia de ""Chapeuzinho Vermelho e a Floresta Encantada""! Apresentações sábados e domingos às 17hno Teatro dos Grandes Atores. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. Uma experiência teatral imperdível para crianças e adultos, que celebra a imaginação e a alegria de contar histórias. ⏰ HORÁRIOS: 📆Sábados e domingos - 17h Classificação: Livre Sobre o espetáculo: Prepare-se para uma aventura mágica e cheia de risadas com a estreia de ""Chapeuzinho Vermelho e a Floresta Encantada""! Este espetáculo reimagina o clássico conto de fadas com um toque de humor e surpresas que vão encantar toda a família. A história começa com a atenta Dona Chapéu, mãe de Chapeuzinho, que acorda com um forte pressentimento. Preocupada, ela pede à sua filha, a adorável Chapeuzinho Vermelho, para visitar a vovó, reforçando a importância de não conversar com estranhos e de seguir o caminho seguro pelo bosque. No entanto, o destino reserva um desvio inesperado. Chapeuzinho encontra o Lobo Juan, que a convence a mudar o trajeto. É aí que a verdadeira magia começa, quando a pequena protagonista se aventura pela Floresta Encantada, um l",04/07 às 17:00 | 05/07 às 17:00,60,0,,4490,https://clubinhodeofertas.com.br/rio-de-janeiro/chapeuzinho-vermelho-e-a-floresta-encantada-3314,1
A Bela e a Fera,Teatro Infantil,Teatro Miguel Falabella - Norte Shopping,Cachambi,"Dias 04/07, 05/07",50%,"R$34,90",https://clubinhodeofertas.com.br/rio-de-janeiro/a-bela-e-a-fera-4013,"Bela se apaixona por um príncipe transformado em fera e mostra que o amor vai além da aparência. Apresentações sábados e domingos às 17h no Teatro Miguel Falabella. ⚠️ As vendas encerram 1 hora antes do início de cada sessão do espetáculo. A história se passa em um lindo vilarejo, onde tudo é sempre muito parecido, onde mora o pai de Bela, um cientista muito engraçado e excêntrico. ⏰HORÁRIOS: 📆Sábados e domingos -17h Classificação: Livre Sobre o espetáculo: A história se passa em um lindo vilarejo, onde tudo é sempre muito parecido, onde mora o pai de Bela, um cientista muito engraçado e excêntrico. Bela, é uma menina diferente de todas as outras camponesas que estão na cidade, é meiga, é dócil, mas ao mesmo tempo tem uma personalidade forte, incrível e bem decidida dentre as outras meninas, Bela é a única que não vê graça no gala da aldeia. Gaston, um homem rústico, forte, bonito e sedutor, do qual todas as camponesas dariam a vida para casar com ele. Já Gaston, prefere bela, a única que não lhe dá confiança, Maurice, pai de Bela resolve fazer uma viagem para concorrer em uma feira com o seu novo invento, só que a partir daí toda a trama toma forma, ele se perde pela floresta e d",04/07 às 17:00 | 05/07 às 17:00,60,0,,3490,https://clubinhodeofertas.com.br/rio-de-janeiro/a-bela-e-a-fera-4013,1
